课程代码,课程名称,开课院系,课程性质,课程类别,学分,教师信息
B3J230110,MOOC（一）,高等理工学院,选修,一般专业类,1.0,吴文峻
B3J230120,MOOC（二）,高等理工学院,选修,一般专业类,2.0,吴文峻
B3J230130,MOOC（三）,高等理工学院,选修,一般专业类,3.0,吴文峻
B3J202910,案例实务,法学院,选修,一般专业类,1.0,吉冠浩+王  琦+黄  卉+刘  颖+明  辉+康子兴
B1A043230,复变函数,能源与动力工程学院,选修,一般专业类,2.0,李绍斌+王  强
B3I09312A,拓扑学引论,数学与系统科学学院,必修,一般专业类,3.0,严夺魁+梁湘玉
B3I09331A,最优化理论与算法,数学与系统科学学院,必修,一般专业类,3.0,韩德仁
B3I123510,修辞学导论,外国语学院,选修,一般专业类,2.0,钱多秀
B3I123520,公众演讲,外国语学院,选修,一般专业类,2.0,Franny Solnic
B3I123530,体裁写作,外国语学院,选修,一般专业类,2.0,李英梅+孙洪丽
B3I123550,美国研究,外国语学院,选修,一般专业类,2.0,胥国红
B3I123710,英汉交替传译（1）,外国语学院,选修,一般专业类,2.0,胥国红
B3I123720,汉英交替传译（1）,外国语学院,选修,一般专业类,2.0,王  沛
B3I123730,计算机辅助翻译,外国语学院,选修,一般专业类,2.0,钱多秀
B3I123740,英汉语言对比,外国语学院,选修,一般专业类,2.0,王义娜
B3I123750,翻译概论,外国语学院,选修,一般专业类,2.0,文  军
B3I123770,文学翻译,外国语学院,选修,一般专业类,2.0,彭  予
B3I123790,新闻编译,外国语学院,选修,一般专业类,2.0,钱多秀
B3I13362B,金属与复合材料力学分析,交通科学与工程学院,选修,一般专业类,2.0,潘  强
B3I13368B,矢量与张量引论,交通科学与工程学院,选修,一般专业类,2.0,张艳来
B3J013360,金属材料制备原理及工艺,材料科学与工程学院,选修,一般专业类,2.0,蒋成保
B3J013370,无机非金属材料制备原理及工艺,材料科学与工程学院,选修,一般专业类,2.0,张  跃
B3J013380,高分子及复合材料制备基础,材料科学与工程学院,选修,一般专业类,2.0,顾轶卓
B3J013390,材料成型原理及工艺,材料科学与工程学院,选修,一般专业类,2.0,周铁涛+吴国清
B3J014510,分析化学,材料科学与工程学院,选修,一般专业类,2.0,李松梅+杜  娟
B3J014710,结构化学（B）,材料科学与工程学院,选修,一般专业类,2.0,杨  光
B3J014720,界面化学,材料科学与工程学院,选修,一般专业类,2.0,王小群
B3J033010,自动化专业导论,自动化科学与电气工程学院,必修,一般专业类,1.0,霍  伟+吴云洁+王少萍+袁海文+秦世引+段海滨+吕金虎
B3J033270,传感器与测试技术基础,自动化科学与电气工程学院,选修,一般专业类,2.0,闫  蓓
B3J033350,机电工程创新设计导论,自动化科学与电气工程学院,选修,一般专业类,1.0,焦宗夏+尚耀星
B3J033390,航空系统工程,自动化科学与电气工程学院,选修,一般专业类,2.0,王英勋
B3J033530,计算机网络与通讯,自动化科学与电气工程学院,选修,一般专业类,1.5,段海滨+马耀飞
B3J033550,虚拟现实技术,自动化科学与电气工程学院,选修,一般专业类,1.5,赵永嘉
B3J033570,应用离散数学,自动化科学与电气工程学院,选修,一般专业类,2.0,郑  征
B3J033810,信息理论与技术基础,自动化科学与电气工程学院,选修,一般专业类,2.0,陶  飞
B3J043940,计算机软件技术基础,能源与动力工程学院,选修,一般专业类,2.0,岳  明
B3J05011A,航空发动机原理及应用,航空科学与工程学院,选修,一般专业类,1.5,周尧明+祝  明+陶国权
B3J05014A,飞行器适航基础,航空科学与工程学院,选修,一般专业类,1.0,邓志诚+姜晓爱
B3J05020A,航空工程大型通用软件应用（1）,航空科学与工程学院,选修,一般专业类,1.5,吴永康+焦起祥+周  越+邹  辉+罗明强+姜振华
B3J05023A,结构设计适航基础,航空科学与工程学院,选修,一般专业类,2.0,徐伟强
B3J05026A,损伤容限设计,航空科学与工程学院,选修,一般专业类,1.0,张纪奎
B3J05027A,微小型飞行器创新设计与实践,航空科学与工程学院,选修,一般专业类,2.0,吴永康+焦起祥+王维军+黄  俊+万志强+王耀坤
B3J05039A,空气动力学B（2）,航空科学与工程学院,选修,一般专业类,2.0,吴宗成+郭  辉+高振勋+胡天翔+潘  翀
B3J05041AL,计算流体力学（留学生英文课）,航空科学与工程学院,选修,一般专业类,2.0,兰世隆
B3J05045A,水动力学基础,航空科学与工程学院,选修,一般专业类,2.0,马  亮
B3J05066A,矢量、场论及张量初步,航空科学与工程学院,选修,一般专业类,2.0,张  铮
B3J05070A,振动力学基础,航空科学与工程学院,选修,一般专业类,2.0,邢誉峰
B3J05083A,换热器设计,航空科学与工程学院,选修,一般专业类,1.0,高红霞
B3J05092B,张量计算初步及其在力学中的应用,航空科学与工程学院,选修,一般专业类,3.0,陈来文
B3J05101A,人工智能及其航空应用,航空科学与工程学院,选修,一般专业类,2.0,张云飞+王黎静+祝  明+李  可+邓志诚
B3J05391A,水波方程与非线性可积系统,航空科学与工程学院,选修,一般专业类,2.0,于  鑫
B3J063310,信号与系统,计算机学院,选修,一般专业类,2.0,张永飞
B3J063810,高级语言程序设计（2）,计算机学院,选修,一般专业类,2.0,尹宝林
B3J063840,具体数学,计算机学院,选修,一般专业类,1.5,赵启阳
B3J063850,移动计算导论,计算机学院,选修,一般专业类,1.5,牛建伟+阮  利+盛  浩
B3J063860,Android平台开发技术,计算机学院,选修,一般专业类,2.0,张  炯
B3J063870,数据挖据导论,计算机学院,选修,一般专业类,2.0,王静远
B3J063880,机器学习导论,计算机学院,选修,一般专业类,2.0,张永飞+王静远+黄  迪
B3J063892,无线网络系统,计算机学院,选修,一般专业类,2.0,白跃彬
B3J063894,智能计算体系结构,计算机学院,选修,一般专业类,2.0,杨建磊
B3J063895,大数据科学导论,计算机学院,选修,一般专业类,1.5,吴文峻
B3J064810,RFID与无线传感器网络,计算机学院,选修,一般专业类,2.0,尚利宏+欧阳元新
B3J064850,专业基础与技能拓展,计算机学院,选修,一般专业类,2.0,高小鹏
B3J073710,产品设计(1),机械工程及自动化学院,选修,一般专业类,2.5,刘静华+尹  虎
B3J073750,环境设计(1),机械工程及自动化学院,选修,一般专业类,2.0,张  融
B3J073760,展示设计,机械工程及自动化学院,选修,一般专业类,2.0,张  融+魏晓东
B3J082350,ERP沙盘模拟实验,经济管理学院,选修,一般专业类,1.5,曹  明+韩小汀
B3J082630,职业能力提升-求职技能,经济管理学院,选修,一般专业类,0.5,牟  晖
B3J083410,可用性工程,经济管理学院,选修,一般专业类,2.0,周荣刚
B3J083430,跨文化管理,经济管理学院,选修,一般专业类,1.5,方  虹
B3J083450,商务口语,经济管理学院,选修,一般专业类,2.0,李  卫
B3J083470,数据库技术基础,经济管理学院,选修,一般专业类,2.0,何玉敏
B3J083490,系统分析与评价,经济管理学院,选修,一般专业类,2.0,罗开平
B3J083520,知识管理概论,经济管理学院,选修,一般专业类,1.5,王  君
B3J09311A,计算几何,数学与系统科学学院,选修,一般专业类,2.0,张思容
B3J09331A,三年级研讨课（1）,数学与系统科学学院,选修,一般专业类,1.0,刘铁钢+王  鹏+张  筱+佘志坤+郭定辉+王进良+杨义川
B3J100170,酶工程,生物与医学工程学院,选修,一般专业类,1.0,李  萍
B3J113150,政府公共关系与危机管理,人文社会科学学院,选修,一般专业类,2.0,贾哲敏
B3J113160,公务员制度,人文社会科学学院,选修,一般专业类,2.0,谢凌玲
B3J113210,地方政府管理,人文社会科学学院,选修,一般专业类,2.0,涂晓芳
B3J113220,公共部门决策理论与方法,人文社会科学学院,选修,一般专业类,2.0,陈文博
B3J113230,比较政府与政治,人文社会科学学院,选修,一般专业类,2.0,任丙强
B3J113240,计算机网络与应用,人文社会科学学院,选修,一般专业类,2.0,简南红
B3J113410,变态心理学,人文社会科学学院,选修,一般专业类,2.0,王慧琳
B3J113730,法经济学,人文社会科学学院,选修,一般专业类,2.0,黄  岩
B3J113840,外国税制,人文社会科学学院,选修,一般专业类,2.0,韩  霞
B3J113890,项目管理,人文社会科学学院,选修,一般专业类,2.0,侯琳琳
B3J113920,计量实验课,人文社会科学学院,选修,一般专业类,2.0,刘美芳
B3J114430,航空航天心理学,人文社会科学学院,选修,一般专业类,2.0,邓丽芳
B3J123110,语音与音系,外国语学院,选修,一般专业类,2.0,袁  野
B3J123120,语义学,外国语学院,选修,一般专业类,2.0,王洪磊
B3J123150,认知语言学,外国语学院,选修,一般专业类,2.0,李福印
B3J123170,德语国家国情,外国语学院,选修,一般专业类,2.0,Barbara Nowara
