姓名,学校,学院,职位,性别,个人主页,个人照片
赵巍胜,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/09688/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/2A/93/D7D547DC259C4CF561E4688FC61_F6862B0F_C524.jpg
胡远奇,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/yuanqihu86/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/E0/71/FC5FD2BCBB65D79C407BDC6F66A_8B8F6BF5_C29E.jpg
温良恭,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/wenlianggong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/31/4D/4E2459F6E43909F2E383FDF0367_6542821D_BBE6.jpg
林晓阳,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/XYLin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/67/06/3B370EFA01CC256900B179C809F_C0EA0FA3_B15E.jpg
成元庆,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/chengyuanqing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/29/A4/43F3844CF0DB1BFF374F8BE8BA3_7AB33AF9_D1C8.jpg
曾琅,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/midfielder/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/B9/AE/ADF11E1B2CA7BA70B90C9B65C5C_49BCA8EB_7E48.jpg
洪宾,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/binhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/E6/7F/14F4231988B5447C99B14E3C7DD_3EE6755B_1F6A.jpg
张帆,北京航空航天大学,微电子学院,教授,女,http://shi.buaa.edu.cn/fanzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
雷娜,北京航空航天大学,微电子学院,教授,女,http://shi.buaa.edu.cn/leina/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/D1/D6/803F23484EE758B5A7BC532EFC4_BB787017_8BF4.jpg
康旺,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/kangwang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/F4/2A/B52FDEF6E8B5156B3C23D0A4588_3B705824_BD78.jpg
彭守仲,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/shouzhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/63/96/1B2BDCAF276F1B3F8FDDA98C5AE_B7E36D27_1263B.jpg
于海明,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/hyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/D4/C2/3E0F77EE9212B9EC0CD13A9E32C_90F2DE6D_9DBA.jpg
聂天晓,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/nietianxiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/D2/3A/B658DF4ACC931A8FC8EBCE51C98_E5521EB0_5173.jpg
张悦,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/yuezhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/50/AD/25088EBB900D2FEB7C2F8DB9216_E023D902_BD7D.jpg
王昭昊,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/howard/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/0C/EC/845C800D0808EF69A5CE712D93E_FB4C7A0E_BD56.jpg
张学莹,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/zhangxueying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/AD/4A/1ACEDC8A569A051EED19941FDE8_5A66DF9D_8464.jpg
徐其志,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/qizhi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/FE/2F/404EA9E7373EAD66D3177562467_F15CBD92_32EB.jpg
马帅,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/mashuai/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
郑锦,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/zhengjin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/63/FC/3CCFCC9A53EDA7AFBE50377C63C_96318E45_3DCE.jpg
郑剑,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/zhengjian/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
姚燕青,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/yaoyanqing/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
07314,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/07314/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
胡海苗,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/huhaimiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/1D/71/CF81BEB2898A75DC5C469246CC5_7C3E61F6_16FF9.jpg
张莉,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/06453/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/7B/6A/700CA6B3F8DE2FE7BE261822220_6263DA07_DBDC.jpg
潘俊君,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/jujun_pan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/C3/CA/28F545034C040D7470A32872736_5FB56865_396B.jpg
李云春,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/liyunchun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/AA/A8/07C6B308B4BFC8D5224F6BE89BA_E2171DB3_75C4.jpg
张日崇,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/zhangrichong/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张永飞,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/yfzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/78/4C/88F1A3874BDD2476177B0B8F4A8_59EC474A_DB9D.jpg
姜博,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/jiangbo/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/8E/3D/0D2E9AB0BF3156872E6738C1A41_FE9C2455_5DD2.jpg
刘偲,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liusi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/07/08/80E96D500719A695AB94DD7D4A6_5B7F4861_6801.jpg
冷彪,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/lengbiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李辉勇,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/lihuiyong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/84/0D/DC7A6CFE67F07E6BA63DA44F92E_A7EFBD34_2C56.jpg
陆峰,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/lufeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
诸彤宇,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/zhutongyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
b16093,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/b16093/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
杨海龙,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/yanghailong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/45/41/CD6C36FEB883E89E9663880157A_C0960AEE_272C.jpg
刘庆杰,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/liuqingjie/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/21/28/13A1B15AD13D882D269F53D725C_8F7FA4E4_7F9A.jpg
胡春明,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/huchunming/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/90/A0/BEA589A00F49C72517D1C2A7E02_FE199172_4840.jpg
王锐,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/wangrui/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/6B/DD/DE80832B8537D732FE1A7B01E2A_2726A283_6BA6.jpg
百晓,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/baixiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/47/1D/933769561A2462AC58B9F08EDF5_61AAC6C9_2EB6.jpg
刘祥龙,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/xlliu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/EB/B7/BCB8F202BD44DCEE3D17964F158_226CC1EE_992B.jpg
周忠,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/zhouzhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/E9/E6/70EBFAB7A5EE703B1690A80B8E6_2042D79D_6455.jpg
肖利民,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/xiaolimin/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王德庆,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/dqwang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/FE/23/2A2CD2C9ED21823F005DCCC4931_F52EF0CD_74AA.jpg
史晓华,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/shixiaohua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/0E/E0/095F56C205393795B4F33FABDED_951BE59B_62DD.jpg
李莹,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/B4/7D/4CEC08DA67D92CD74FD36360FAF_3F2E4F6D_9DBE.jpg
李欢,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/lihuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/7C/94/DAC4A45582B992FDFCBAE11D501_05DD6B94_50B4.jpg
刘莹,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liuying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/0C/50/F4D56441007AAEAA390BADB8DE5_701852D7_BFF.jpg
李锐星,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/liruixing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/60/27/95E3743A056AEC01D60CE2BAF3F_A7F57380_F0F3.jpg
吴煜烨,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/wuyuye1989/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/5D/FA/B51BFC3D96627EB72980B00E73C_3F63D24E_A518.jpg
李岩,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/liyan2/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/35/9D/536FFDA3B27A686E709BCD84B70_99B4F38E_E37A.jpg
陈爱华,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/chenaihua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/02/53/08ED0CE3D07CEB8839A4D0ECD93_BFFABEE3_D400.jpg
刘知琪,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/liuzhiqi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/99/0F/86EFAED8246B98062B539FC7B36_348B45C5_971C.jpeg
赵立东,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhaolidong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/53/A1/1977066543916B957318FFC52FF_05F6C17F_47D5.jpg
